L 895.0000, -200.0000, 0.0000,  -447.0000, -200.0000, 0.0000,  220, 220, 220
L 895.0000, -100.0000, 0.0000,  -447.0000, -100.0000, 0.0000,  220, 220, 220
L 895.0000, 200.0000, 0.0000,  -447.0000, 200.0000, 0.0000,  220, 220, 220
L 895.0000, 100.0000, 0.0000,  -447.0000, 100.0000, 0.0000,  220, 220, 220
L -400.0000, 266.0000, 0.0000,  -400.0000, -285.0000, 0.0000,  220, 220, 220
L -300.0000, 266.0000, 0.0000,  -300.0000, -285.0000, 0.0000,  220, 220, 220
L -200.0000, 266.0000, 0.0000,  -200.0000, -285.0000, 0.0000,  220, 220, 220
L -100.0000, 266.0000, 0.0000,  -100.0000, -285.0000, 0.0000,  220, 220, 220
L 800.0000, 266.0000, 0.0000,  800.0000, -285.0000, 0.0000,  220, 220, 220
L 700.0000, 266.0000, 0.0000,  700.0000, -285.0000, 0.0000,  220, 220, 220
L 600.0000, 266.0000, 0.0000,  600.0000, -285.0000, 0.0000,  220, 220, 220
L 500.0000, 266.0000, 0.0000,  500.0000, -285.0000, 0.0000,  220, 220, 220
L 400.0000, 266.0000, 0.0000,  400.0000, -285.0000, 0.0000,  220, 220, 220
L 300.0000, 266.0000, 0.0000,  300.0000, -285.0000, 0.0000,  220, 220, 220
L 200.0000, 266.0000, 0.0000,  200.0000, -285.0000, 0.0000,  220, 220, 220
L 100.0000, 266.0000, 0.0000,  100.0000, -285.0000, 0.0000,  220, 220, 220
L 0.0000, 266.0000, 0.0000,  0.0000, -285.0000, 0.0000,  140, 140, 140
L 895.0000, 0.0000, 0.0000,  -447.0000, 0.0000, 0.0000,  140, 140, 140
P 905.0000, -195.0000, 0.0000,  0, 0, 0,  3,  -200
P 905.0000, -95.0000, 0.0000,  0, 0, 0,  3,  -100
P 905.0000, 205.0000, 0.0000,  0, 0, 0,  3,  200
P 905.0000, 105.0000, 0.0000,  0, 0, 0,  3,  100
P -395.0000, 276.0000, 0.0000,  0, 0, 0,  3,  -400
P -295.0000, 276.0000, 0.0000,  0, 0, 0,  3,  -300
P -195.0000, 276.0000, 0.0000,  0, 0, 0,  3,  -200
P -95.0000, 276.0000, 0.0000,  0, 0, 0,  3,  -100
P 805.0000, 276.0000, 0.0000,  0, 0, 0,  3,  800
P 705.0000, 276.0000, 0.0000,  0, 0, 0,  3,  700
P 605.0000, 276.0000, 0.0000,  0, 0, 0,  3,  600
P 505.0000, 276.0000, 0.0000,  0, 0, 0,  3,  500
P 405.0000, 276.0000, 0.0000,  0, 0, 0,  3,  400
P 305.0000, 276.0000, 0.0000,  0, 0, 0,  3,  300
P 205.0000, 276.0000, 0.0000,  0, 0, 0,  3,  200
P 105.0000, 276.0000, 0.0000,  0, 0, 0,  3,  100
P 5.0000, 276.0000, 0.0000,  0, 0, 0,  3,  0
P 905.0000, 5.0000, 0.0000,  0, 0, 0,  3,  0
